name,longitude,latitude,prov,date,key
Bombycilla garrulus,-149.8864317,61.1808822,ebird,2017-03-20,L4343690
Bombycilla garrulus,-96.04171,47.91136,ebird,2017-03-19,L747339
Bombycilla garrulus,-71.3049173,43.8213997,ebird,2017-03-19,L3373573
Bombycilla garrulus,-114.28017,47.861598,ebird,2017-03-19,L4452404
Bombycilla garrulus,-87.891655,47.4677893,ebird,2017-03-19,L504572
Bombycilla garrulus,-117.5073892,47.7058485,ebird,2017-03-19,L5596718
Bombycilla garrulus,-114.2767167,48.1864326,ebird,2017-03-19,L571452
Bombycilla garrulus,-118.095721,45.3266102,ebird,2017-03-19,L2131460
Bombycilla garrulus,-77.1844482,43.2822042,ebird,2017-03-19,L489590
Bombycilla garrulus,-112.329623,48.630792,ebird,2017-03-19,L5090509
Bombycilla garrulus,-114.1559194,46.9129809,ebird,2017-03-19,L492302
Bombycilla garrulus,-149.965956,61.152024,ebird,2017-03-19,L4408787
Bombycilla garrulus,-71.1261749,44.0513236,ebird,2017-03-19,L909326
Bombycilla garrulus,-149.866554,61.22951,ebird,2017-03-19,L5239745
Bombycilla garrulus,-149.8307276,61.1282777,ebird,2017-03-19,L5594065
Bombycilla garrulus,-114.1170073,48.1986056,ebird,2017-03-19,L4778972
Bombycilla garrulus,-68.779325,44.778238,ebird,2017-03-19,L5550671
Bombycilla garrulus,-74.278264,44.851853,ebird,2017-03-19,L1317234
Bombycilla garrulus,-113.9875721,46.8640725,ebird,2017-03-19,L5590417
Bombycilla garrulus,-72.6150477,42.8365245,ebird,2017-03-19,L5589898
Bombycilla garrulus,-114.0134673,46.8657314,ebird,2017-03-19,L5597358
Bombycilla garrulus,-120.5003942,46.6017565,ebird,2017-03-19,L5601202
Bombycilla garrulus,-113.9603448,46.9093795,ebird,2017-03-19,L5593088
Bombycilla garrulus,-89.4098475,45.6295598,ebird,2017-03-19,L285488
Bombycilla garrulus,-70.0936317,43.9497826,ebird,2017-03-19,L2863132
Bombycilla garrulus,-149.7819865,61.0881973,ebird,2017-03-19,L5597949
Bombycilla garrulus,-106.0029602,40.5534611,ebird,2017-03-19,L2862670
Bombycilla garrulus,-69.0821203,44.5857503,ebird,2017-03-19,L3893080
Bombycilla garrulus,-72.202772,43.583572,ebird,2017-03-18,L5589454
Bombycilla garrulus,-86.2627484,44.3372365,ebird,2017-03-18,L319923
Bombycilla garrulus,-92.0071399,46.8481143,ebird,2017-03-18,L512033
Bombycilla garrulus,-68.8018906,44.7058114,ebird,2017-03-18,L524525
Bombycilla garrulus,-87.4077845,46.5598636,ebird,2017-03-18,L4705673
Bombycilla garrulus,-74.6407431,44.9692748,ebird,2017-03-18,L2959739
Bombycilla garrulus,-109.644056,45.2011289,ebird,2017-03-18,L2571021
Bombycilla garrulus,-77.191985,43.279867,ebird,2017-03-18,L4495374
Bombycilla garrulus,-149.7546387,61.1564467,ebird,2017-03-18,L1177833
